,,,,,AMBE,MSE,Entropy,si,ssim,EC,psnr
14,EXAMPLE,0.9,500,3,1.6700303819444429,81.9069140625,6.829563631656714,0.9997995713951578,0.9683587242748957,42.479809027777776,28.997597971727956
202,EXAMPLE,0.9,500,3,1.6031336805555583,72.61449652777777,6.854567266330723,0.9998353250212644,0.9744458241226085,41.76478732638889,29.520570303393615
211,EXAMPLE,0.3,700,3,2.5873500000000007,126.15698333333333,7.6025743854512315,0.9997513875786901,0.9818987546888961,60.77413333333333,27.121690652755895
818,EXAMPLE,0.9,500,3,1.0241579861111063,53.04643229166667,7.387268288935529,0.9999669970122229,0.9871815793114086,30.374270833333334,30.884241807011584
74,EXAMPLE,0.6,500,3,1.6486916666666787,55.11985833333333,7.65851304241231,0.9998522143482564,0.9911567490213672,63.44571666666667,30.717722681717277
16,EXAMPLE,0.9,300,5,1.434366319444436,145.24008680555556,7.762743649229174,0.9999280986994931,0.9798841761801876,61.26907552083333,26.50993861062456
588,EXAMPLE,0.3,500,3,0.6200824652777754,23.33279079861111,7.623702231265242,0.999987858530121,0.9960383869809545,20.209440104166667,34.4511367368369
307,EXAMPLE,0.3,300,5,1.2261583333333306,104.122425,7.352910748596951,0.9999625219381587,0.974043335650558,50.429725,27.955360866414836
197,EXAMPLE,0.6,500,5,0.31409166666665556,10.986725,7.704300435967078,0.9999972811966457,0.9983808711403175,18.49015,37.72212106696822
122,EXAMPLE,0.6,300,3,2.703191666666669,129.823825,7.086575722712665,0.9998487647534783,0.9619379279327965,42.845108333333336,26.997259602638284
153,EXAMPLE,0.3,700,5,0.7671916666666618,64.48430833333333,7.490429741573304,0.9999792841637583,0.9866732339846136,34.31565833333333,30.03626314966567
182,EXAMPLE,0.9,300,3,0.8013583333333258,19.421108333333333,7.213908040038359,0.9999720291046852,0.9934853378199929,28.000375,35.24806350058243
35,EXAMPLE,0.3,300,7,0.3361892361111103,64.25637152777777,7.2627211080648415,0.9999964928066503,0.9843693075303952,21.454266493055556,30.051641629943873
1,EXAMPLE,0.9,500,7,0.23758916323731682,20.057081618655694,6.90611169630936,0.9999990603782853,0.9925791179130664,19.951690672153635,35.108126190787196
370,EXAMPLE,0.3,300,5,1.0223500000000172,67.31313333333334,7.537520183587465,0.9999707299226036,0.9871607472995938,51.9569,29.849805540326813
717,EXAMPLE,0.3,300,3,0.7647249999999985,17.891258333333333,7.518278436605137,0.9999789326482396,0.9972548087824697,30.606266666666667,35.60439474296918
