,,,,,AMBE,MSE,Entropy,si,ssim,EC,psnr
35,EXAMPLE,0.6,11,1300,0.15097656249999147,81.01243489583334,7.241837823841687,0.9999992937175832,0.9801424170055878,17.83987847222222,29.04528675419407
1,EXAMPLE,0.6,19,1500,0.03391975308642259,57.68481138545953,6.88081958047772,0.999999980870872,0.97804887462292,12.904132373113855,30.520188839309856
35,EXAMPLE,0.0,5,500,0.6465755208333235,53.51428385416666,7.278777625094996,0.9999869955786428,0.9871202307133911,24.42010416666667,30.846106429387206
1,EXAMPLE,0.0,11,1300,0.11148834019203946,31.566460905349793,6.896674388669997,0.999999793251229,0.9881845513486693,17.011714677640605,33.13854467459561
35,EXAMPLE,0.0,19,1500,0.0454904513888863,110.9403515625,7.206695654671211,0.999999935932256,0.9725225859603618,13.368572048611112,27.679908230729584
98,ENHANCED_CONTRAST,9,8,1,4.794049999999999,2284.7718333333332,7.95976964914852,0.9992605733352448,0.7462962091486027,147.73565833333333,14.542375247211073
35,EXAMPLE,0.3,3,700,1.1042404513888897,47.281263020833336,7.292682133207093,0.9999619334622621,0.9888620554406404,26.899270833333333,31.383912915638305
1,EXAMPLE,0.6,3,300,0.6054389574759966,10.818038408779149,6.923604280185948,0.9999938854909263,0.9961648119603774,23.922774348422497,37.78931841823315
1,ENHANCED_CONTRAST,9,8,0,29.35506172839507,2786.710548696845,7.873143284207635,0.9830497669122747,0.6268195740831743,108.68153978052126,13.679884993063876
1,EXAMPLE,0.9,5,700,0.41237997256516223,13.954451303155007,6.9151283207180025,0.9999971664388541,0.9949177974885284,22.186526063100136,36.683675964099336
,,,,,AMBE,MSE,Entropy,si,ssim,EC,psnr
35,ENHANCED_CONTRAST,10,8,0,2.501618923611119,2444.936697048611,7.828846028909348,0.9998100935764633,0.5762723091851156,122.4330078125,14.248127417757061
35,ENHANCED_CONTRAST,10,10,1,2.6661848958333394,2415.6476519097223,7.814208185789324,0.9997845652521674,0.571174049088427,126.79048611111111,14.300467728024188
35,ENHANCED_CONTRAST,10,10,0,2.6661848958333394,2415.6476519097223,7.814208185789324,0.9997845652521674,0.571174049088427,126.79048611111111,14.300467728024188
,,,,,AMBE,MSE,Entropy,si,ssim,EC,psnr
90131711766096_.pic,ENHANCED_CONTRAST,8,11,0,1.9633722174657606,83.3511825770548,6.317177463242688,0.9998179854370696,0.9919455779615297,31.550848137842465,28.921685949396874
90131711766096_.pic,ENHANCED_CONTRAST,9,12,1,2.5835669948630198,93.78228809931507,6.393335548849833,0.9996867445915035,0.9910364490827116,31.994691780821917,28.40959536423448
90131711766096_.pic,ENHANCED_CONTRAST,9,12,0,2.5835669948630198,93.78228809931507,6.393335548849833,0.9996867445915035,0.9910364490827116,31.994691780821917,28.40959536423448
90131711766096_.pic,ENHANCED_CONTRAST,8,11,1,1.9633722174657606,83.3511825770548,6.317177463242688,0.9998179854370696,0.9919455779615297,31.550848137842465,28.921685949396874
90131711766096_.pic,ENHANCED_CONTRAST,10,12,1,3.217931292808217,104.50955158390411,6.435521452797623,0.9995170402137654,0.9901503387394628,32.226669520547944,27.939243765393435
90131711766096_.pic,ENHANCED_CONTRAST,10,12,0,3.217931292808217,104.50955158390411,6.435521452797623,0.9995170402137654,0.9901503387394628,32.226669520547944,27.939243765393435
90131711766096_.pic,ENHANCED_CONTRAST,10,10,1,3.2488174229452085,103.53309610445206,6.259245282463338,0.999507873763461,0.9902652095152087,31.799341823630137,27.980011593075133
90131711766096_.pic,ENHANCED_CONTRAST,10,10,0,3.2488174229452085,103.53309610445206,6.259245282463338,0.999507873763461,0.9902652095152087,31.799341823630137,27.980011593075133
90131711766096_.pic,ENHANCED_CONTRAST,9,10,1,2.506632598458907,90.83070151969179,6.202691304954964,0.999704900703951,0.991315345212487,31.610306078767124,28.548476924468456
90131711766096_.pic,ENHANCED_CONTRAST,9,10,0,2.506632598458907,90.83070151969179,6.202691304954964,0.999704900703951,0.991315345212487,31.610306078767124,28.548476924468456
92811711896171_.pic,ENHANCED_CONTRAST,10,11,1,17.87602746016438,1707.0912200945952,7.309960354136369,0.9891343975706516,0.8653860983627757,107.0682983575944,15.808236321812771
92811711896171_.pic,ENHANCED_CONTRAST,10,11,0,17.87602746016438,1707.0912200945952,7.309960354136369,0.9891343975706516,0.8653860983627757,107.0682983575944,15.808236321812771
92811711896171_.pic,ENHANCED_CONTRAST,9,10,1,17.17063492063491,1504.35649997704,7.307296711392392,0.9900287298861165,0.882047717033289,103.17406361451684,16.35729594009778
92811711896171_.pic,ENHANCED_CONTRAST,9,10,0,17.17063492063491,1504.35649997704,7.307296711392392,0.9900287298861165,0.882047717033289,103.17406361451684,16.35729594009778
92811711896171_.pic,ENHANCED_CONTRAST,8,11,0,17.275902710811096,1520.2712877500728,7.297361420995131,0.9898979918086676,0.8806228491665399,103.74183771869403,16.31159267488901
92811711896171_.pic,ENHANCED_CONTRAST,9,12,1,16.7143775543004,1558.1744348012428,7.311320481519959,0.990584412716153,0.8773026624949776,105.79380386034195,16.204642863304045
92811711896171_.pic,ENHANCED_CONTRAST,9,12,0,16.7143775543004,1558.1744348012428,7.311320481519959,0.990584412716153,0.8773026624949776,105.79380386034195,16.204642863304045
92811711896171_.pic,ENHANCED_CONTRAST,8,11,1,17.275902710811096,1520.2712877500728,7.297361420995131,0.9898979918086676,0.8806228491665399,103.74183771869403,16.31159267488901
90131711766096_.pic,ENHANCED_CONTRAST,8,10,1,2.005597174657538,81.0173908390411,6.1548247569343255,0.999810150960421,0.9921886947753392,31.336729452054794,29.04502108226871
90131711766096_.pic,ENHANCED_CONTRAST,8,10,0,2.005597174657538,81.0173908390411,6.1548247569343255,0.999810150960421,0.9921886947753392,31.336729452054794,29.04502108226871
90131711766096_.pic,ENHANCED_CONTRAST,8,12,1,1.9355254708904113,83.1173801369863,6.349361211926151,0.9998230635710565,0.9919552695238322,31.780551690924657,28.93388515081802
90131711766096_.pic,ENHANCED_CONTRAST,9,11,0,2.69176744434931,96.81648919092466,6.344790212775201,0.9996603173616324,0.9907714964293941,31.80421928510274,28.271310308862503
90131711766096_.pic,ENHANCED_CONTRAST,9,11,1,2.69176744434931,96.81648919092466,6.344790212775201,0.9996603173616324,0.9907714964293941,31.80421928510274,28.271310308862503
90131711766096_.pic,ENHANCED_CONTRAST,8,12,0,1.9355254708904113,83.1173801369863,6.349361211926151,0.9998230635710565,0.9919552695238322,31.780551690924657,28.93388515081802
90131711766096_.pic,ENHANCED_CONTRAST,10,11,0,3.0666042380136957,104.15906999143836,6.394790675669861,0.9995607443641499,0.9901258970672129,31.986502033390412,27.953832673261054
90131711766096_.pic,ENHANCED_CONTRAST,10,11,1,3.0666042380136957,104.15906999143836,6.394790675669861,0.9995607443641499,0.9901258970672129,31.986502033390412,27.953832673261054
,,,,,AMBE,MSE,Entropy,si,ssim,EC,psnr
